id,question,reference_answer,generated_answer,retrieved_contexts,retrieved_sources,retrieval_distances,retrieval_time_seconds,generation_time_seconds,faithfulness,faithfulness_error,faithfulness_time_seconds,factual_correctness,factual_correctness_error,factual_correctness_time_seconds,semantic_similarity,semantic_similarity_error,semantic_similarity_time_seconds,question_time_seconds,evaluator_model,gpt56_faithfulness,gpt56_factual_correctness,gpt56_answer_relevancy,gpt56_factual_band,gpt56_judgment_note,qwen_minus_gpt56_faithfulness,qwen_minus_gpt56_factual_correctness
q053,A Germany-based employee wants to work from Spain for one week and still has unused remote days. What approvals are needed?,HR and manager approval are needed.,"The Germany-based employee needs HR and manager approval for the Spain work location, as per the policy.","[""An exception to office attendance does **not** automatically authorize cross-border remote work.\n\n## 5. Examples\n\n- A Germany-based employee working from home in Germany 3 days in one week may be allowed if the manager approves.\n- A Pakistan-based employee normally has a maximum of 2 remote days per week.\n- A Germany-based employee who wants to work from Spain for one week needs HR and manager approval even if the employee has unused remote-work days."", ""# FakeCompanyABC Remote Work Policy\n\n## 1. Standard remote-work allowance\n\nRemote-work allowances depend on contractual work location and team requirements.\n\n### Germany\n\nEmployees contracted in Germany may normally work remotely for up to **3 days per week**, subject to manager approval and team scheduling.\n\nEmployees are normally expected to work from a FakeCompanyABC office at least **2 days per week**.\n\n### Pakistan\n\nEmployees contracted in Pakistan may normally work remotely for up to **2 days per week**, subject to manager approval and team scheduling.\n\nEmployees are normally expected to work from a FakeCompanyABC office at least **3 days per week**.\n\n## 2. Working from another country"", ""## 7. Examples\n\n- An employee contracted in Germany with 8 unused days at year-end may carry forward only 5 days.\n- An employee contracted in Pakistan with 3 unused days may carry all 3 days forward.\n- A Germany-based employee temporarily working from Pakistan still follows the Germany annual-leave entitlement unless the employment contract is changed.""]","[""remote_work.md"", ""remote_work.md"", ""annual_leave.md""]","[0.4103066921234131, 0.43978482484817505, 0.5247704982757568]",0.061,0.789,1.0,,12.155,1.0,,8.982,0.8151826098385966,,0.098,22.085,GPT-5.6 Sol,1.00,1.00,1.00,High,"Answer is factually correct, directly relevant, and its substantive claims are supported by the retrieved context.",0.0000,0.0000
q054,What type of device should employees use for company work while remote?,A company-managed device.,The type of device employees should use for company work while remote is a company-managed device.,"[""## 3. Security requirements\n\nEmployees working remotely must:\n\n- use the company-managed device for company work;\n- connect through the approved VPN when required;\n- follow FakeCompanyABC information-security rules;\n- prevent unauthorized persons from accessing company information;\n- report loss or theft of company devices immediately.\n\n## 4. Temporary exceptions\n\nA department director may approve a temporary exception to the weekly office-attendance requirement for up to **4 consecutive weeks**.\n\nAn exception to office attendance does **not** automatically authorize cross-border remote work.\n\n## 5. Examples"", ""## 2. Working from another country\n\nWorking remotely from a country other than the employee's contractual work location is **not automatically covered** by the normal weekly remote-work allowance.\n\nCross-border remote work requires prior written approval from **both HR and the employee's manager** because tax, immigration, payroll, information-security, and employment-law requirements may apply.\n\nManager approval alone is not sufficient for cross-border remote work.\n\n## 3. Security requirements\n\nEmployees working remotely must:"", ""# FakeCompanyABC Remote Work Policy\n\n## 1. Standard remote-work allowance\n\nRemote-work allowances depend on contractual work location and team requirements.\n\n### Germany\n\nEmployees contracted in Germany may normally work remotely for up to **3 days per week**, subject to manager approval and team scheduling.\n\nEmployees are normally expected to work from a FakeCompanyABC office at least **2 days per week**.\n\n### Pakistan\n\nEmployees contracted in Pakistan may normally work remotely for up to **2 days per week**, subject to manager approval and team scheduling.\n\nEmployees are normally expected to work from a FakeCompanyABC office at least **3 days per week**.\n\n## 2. Working from another country""]","[""remote_work.md"", ""remote_work.md"", ""remote_work.md""]","[0.4160920977592468, 0.5251352787017822, 0.5866178870201111]",0.047,1.749,1.0,,10.219,1.0,,9.966,0.8154988657464881,,0.099,22.081,GPT-5.6 Sol,1.00,1.00,1.00,High,"Answer is factually correct, directly relevant, and its substantive claims are supported by the retrieved context.",0.0000,0.0000
q055,What network-access requirement applies when the approved VPN is required?,The employee must connect through the approved VPN.,The approved network-access requirement is that employees must use the company-managed device for company work and connect through the approved VPN when required.,"[""## 3. Security requirements\n\nEmployees working remotely must:\n\n- use the company-managed device for company work;\n- connect through the approved VPN when required;\n- follow FakeCompanyABC information-security rules;\n- prevent unauthorized persons from accessing company information;\n- report loss or theft of company devices immediately.\n\n## 4. Temporary exceptions\n\nA department director may approve a temporary exception to the weekly office-attendance requirement for up to **4 consecutive weeks**.\n\nAn exception to office attendance does **not** automatically authorize cross-border remote work.\n\n## 5. Examples"", ""## 6. Booking channels\n\nEmployees should use the approved corporate travel provider when it is available for the destination.\n\nBookings made outside the approved channel must include a short justification when the expense claim is submitted.\n\n## 7. Exact identifier note\n\nThis policy is identified as **HR-TRV-0173**. Questions referring to \""TRV-0173\"", \""HR-TRV-0173\"", or \""travel policy 0173\"" refer to this policy.\n\n## 8. Examples"", ""# FakeCompanyABC Business Travel Policy\n\n## 1. Approval\n\nAll business travel must be approved by the employee's manager **before booking**.\n\nInternational travel additionally requires the cost center to be identified before booking.\n\n## 2. Air travel\n\nFor flights with a scheduled duration of **6 hours or less**, employees should book economy class.\n\nFor flights with a scheduled duration of **more than 6 hours**, premium economy may be booked with manager approval.\n\nBusiness class requires director-level approval and a documented business justification.\n\n## 3. Hotel limits — current policy\n\nThe following nightly hotel limits apply from **1 January 2026**:""]","[""remote_work.md"", ""travel_policy.md"", ""travel_policy.md""]","[0.621627926826477, 0.6723390221595764, 0.6922414302825928]",0.048,1.616,1.0,,13.359,0.67,,11.694,0.878453331536276,,0.12,26.837,GPT-5.6 Sol,1.00,1.00,1.00,High,"Answer is factually correct, directly relevant, and its substantive claims are supported by the retrieved context.",0.0000,-0.3300
q056,What should a remote employee do if a company device is lost or stolen?,Report the loss or theft immediately.,The context does not provide specific information about what a remote employee should do if a company device is lost or stolen.,"[""## 3. Security requirements\n\nEmployees working remotely must:\n\n- use the company-managed device for company work;\n- connect through the approved VPN when required;\n- follow FakeCompanyABC information-security rules;\n- prevent unauthorized persons from accessing company information;\n- report loss or theft of company devices immediately.\n\n## 4. Temporary exceptions\n\nA department director may approve a temporary exception to the weekly office-attendance requirement for up to **4 consecutive weeks**.\n\nAn exception to office attendance does **not** automatically authorize cross-border remote work.\n\n## 5. Examples"", ""## 2. Working from another country\n\nWorking remotely from a country other than the employee's contractual work location is **not automatically covered** by the normal weekly remote-work allowance.\n\nCross-border remote work requires prior written approval from **both HR and the employee's manager** because tax, immigration, payroll, information-security, and employment-law requirements may apply.\n\nManager approval alone is not sufficient for cross-border remote work.\n\n## 3. Security requirements\n\nEmployees working remotely must:"", ""# FakeCompanyABC Remote Work Policy\n\n## 1. Standard remote-work allowance\n\nRemote-work allowances depend on contractual work location and team requirements.\n\n### Germany\n\nEmployees contracted in Germany may normally work remotely for up to **3 days per week**, subject to manager approval and team scheduling.\n\nEmployees are normally expected to work from a FakeCompanyABC office at least **2 days per week**.\n\n### Pakistan\n\nEmployees contracted in Pakistan may normally work remotely for up to **2 days per week**, subject to manager approval and team scheduling.\n\nEmployees are normally expected to work from a FakeCompanyABC office at least **3 days per week**.\n\n## 2. Working from another country""]","[""remote_work.md"", ""remote_work.md"", ""remote_work.md""]","[0.43991515040397644, 0.6343673467636108, 0.6551146507263184]",0.049,0.801,0.0,,10.559,0.0,,9.794,0.7300657747082505,,0.091,21.293,GPT-5.6 Sol,0.00,0.00,0.25,Low,Incorrect refusal: the retrieved context explicitly says to report loss or theft of company devices immediately.,0.0000,0.0000
q057,How long can a department director temporarily waive the weekly office-attendance requirement?,Up to 4 consecutive weeks.,"The question asks how long a department director can temporarily waive the weekly office-attendance requirement. According to the context, a department director may approve a temporary exception to the weekly office-attendance requirement for up to **4 consecutive weeks**. Therefore, the answer is:

**4 consecutive weeks.**","[""## 3. Security requirements\n\nEmployees working remotely must:\n\n- use the company-managed device for company work;\n- connect through the approved VPN when required;\n- follow FakeCompanyABC information-security rules;\n- prevent unauthorized persons from accessing company information;\n- report loss or theft of company devices immediately.\n\n## 4. Temporary exceptions\n\nA department director may approve a temporary exception to the weekly office-attendance requirement for up to **4 consecutive weeks**.\n\nAn exception to office attendance does **not** automatically authorize cross-border remote work.\n\n## 5. Examples"", ""An exception to office attendance does **not** automatically authorize cross-border remote work.\n\n## 5. Examples\n\n- A Germany-based employee working from home in Germany 3 days in one week may be allowed if the manager approves.\n- A Pakistan-based employee normally has a maximum of 2 remote days per week.\n- A Germany-based employee who wants to work from Spain for one week needs HR and manager approval even if the employee has unused remote-work days."", ""Unused annual leave remains governed by **Annual Leave Policy HR-LEV-0101**, including its carry-forward rules.\n\n## 7. Examples\n\n- An eligible full-time employee with 18 months of service may receive up to 5 company-paid transition days.\n- An employee with only 8 months of continuous service is not eligible for the company-paid transition days under this policy, although statutory rights may still apply.\n- A returning employee requesting temporary remote work must also consider HR-RMT-0204.""]","[""remote_work.md"", ""remote_work.md"", ""parental_leave.md""]","[0.5622135996818542, 0.6084572076797485, 0.6648401618003845]",0.054,2.016,1.0,,15.97,1.0,,10.382,0.785548571794469,,0.134,28.556,GPT-5.6 Sol,1.00,1.00,1.00,High,"Answer is factually correct, directly relevant, and its substantive claims are supported by the retrieved context.",0.0000,0.0000
q058,"If a director grants a four-week office-attendance exception, does that automatically authorize working from another country?",No.,Yes.,"[""An exception to office attendance does **not** automatically authorize cross-border remote work.\n\n## 5. Examples\n\n- A Germany-based employee working from home in Germany 3 days in one week may be allowed if the manager approves.\n- A Pakistan-based employee normally has a maximum of 2 remote days per week.\n- A Germany-based employee who wants to work from Spain for one week needs HR and manager approval even if the employee has unused remote-work days."", ""## 3. Security requirements\n\nEmployees working remotely must:\n\n- use the company-managed device for company work;\n- connect through the approved VPN when required;\n- follow FakeCompanyABC information-security rules;\n- prevent unauthorized persons from accessing company information;\n- report loss or theft of company devices immediately.\n\n## 4. Temporary exceptions\n\nA department director may approve a temporary exception to the weekly office-attendance requirement for up to **4 consecutive weeks**.\n\nAn exception to office attendance does **not** automatically authorize cross-border remote work.\n\n## 5. Examples"", ""## 7. Examples\n\n- An employee contracted in Germany with 8 unused days at year-end may carry forward only 5 days.\n- An employee contracted in Pakistan with 3 unused days may carry all 3 days forward.\n- A Germany-based employee temporarily working from Pakistan still follows the Germany annual-leave entitlement unless the employment contract is changed.""]","[""remote_work.md"", ""remote_work.md"", ""annual_leave.md""]","[0.32508331537246704, 0.5171729922294617, 0.5546824336051941]",0.051,0.895,0.0,,9.878,0.0,,7.407,0.9655527457845544,,0.077,18.309,GPT-5.6 Sol,0.00,0.00,1.00,Low,Contradicts the retrieved policy: an office-attendance exception does not automatically authorize cross-border remote work.,0.0000,0.0000
q059,Can a Germany-based employee work from home in Germany three days in a week under the normal rule?,"Potentially yes, if the manager approves and team scheduling allows it.",Yes.,"[""# FakeCompanyABC Remote Work Policy\n\n## 1. Standard remote-work allowance\n\nRemote-work allowances depend on contractual work location and team requirements.\n\n### Germany\n\nEmployees contracted in Germany may normally work remotely for up to **3 days per week**, subject to manager approval and team scheduling.\n\nEmployees are normally expected to work from a FakeCompanyABC office at least **2 days per week**.\n\n### Pakistan\n\nEmployees contracted in Pakistan may normally work remotely for up to **2 days per week**, subject to manager approval and team scheduling.\n\nEmployees are normally expected to work from a FakeCompanyABC office at least **3 days per week**.\n\n## 2. Working from another country"", ""An exception to office attendance does **not** automatically authorize cross-border remote work.\n\n## 5. Examples\n\n- A Germany-based employee working from home in Germany 3 days in one week may be allowed if the manager approves.\n- A Pakistan-based employee normally has a maximum of 2 remote days per week.\n- A Germany-based employee who wants to work from Spain for one week needs HR and manager approval even if the employee has unused remote-work days."", ""## 7. Examples\n\n- An employee contracted in Germany with 8 unused days at year-end may carry forward only 5 days.\n- An employee contracted in Pakistan with 3 unused days may carry all 3 days forward.\n- A Germany-based employee temporarily working from Pakistan still follows the Germany annual-leave entitlement unless the employment contract is changed.""]","[""remote_work.md"", ""remote_work.md"", ""annual_leave.md""]","[0.3609265685081482, 0.36098748445510864, 0.41964077949523926]",0.047,0.469,1.0,,10.109,0.67,,8.519,0.6980351725709159,,0.183,19.328,GPT-5.6 Sol,1.00,0.75,0.75,Partial,"The yes/no direction is correct, but the normal rule is conditional on manager approval and team scheduling.",0.0000,-0.0800
q060,Name two distinct information-security responsibilities for remote employees: one about access by other people and one about device incidents.,They must prevent unauthorized persons from accessing company information and report loss or theft of company devices immediately.,"- One about access by other people: use the company-managed device for company work.
- One about device incidents: connect through the approved VPN when required.","[""## 3. Security requirements\n\nEmployees working remotely must:\n\n- use the company-managed device for company work;\n- connect through the approved VPN when required;\n- follow FakeCompanyABC information-security rules;\n- prevent unauthorized persons from accessing company information;\n- report loss or theft of company devices immediately.\n\n## 4. Temporary exceptions\n\nA department director may approve a temporary exception to the weekly office-attendance requirement for up to **4 consecutive weeks**.\n\nAn exception to office attendance does **not** automatically authorize cross-border remote work.\n\n## 5. Examples"", ""## 2. Working from another country\n\nWorking remotely from a country other than the employee's contractual work location is **not automatically covered** by the normal weekly remote-work allowance.\n\nCross-border remote work requires prior written approval from **both HR and the employee's manager** because tax, immigration, payroll, information-security, and employment-law requirements may apply.\n\nManager approval alone is not sufficient for cross-border remote work.\n\n## 3. Security requirements\n\nEmployees working remotely must:"", ""An exception to office attendance does **not** automatically authorize cross-border remote work.\n\n## 5. Examples\n\n- A Germany-based employee working from home in Germany 3 days in one week may be allowed if the manager approves.\n- A Pakistan-based employee normally has a maximum of 2 remote days per week.\n- A Germany-based employee who wants to work from Spain for one week needs HR and manager approval even if the employee has unused remote-work days.""]","[""remote_work.md"", ""remote_work.md"", ""remote_work.md""]","[0.43630173802375793, 0.5402837991714478, 0.6091492176055908]",0.061,1.222,1.0,,12.511,0.67,,13.942,0.8025331212661683,,0.12,27.857,GPT-5.6 Sol,1.00,0.00,0.25,Low,"The two listed security rules are true, but they are not the two responsibilities requested: preventing unauthorized access and reporting device loss/theft.",0.0000,0.6700
q061,When must manager approval for ordinary business travel be obtained relative to booking?,Before booking.,"The manager must approve business travel before booking, including international travel.","[""# FakeCompanyABC Business Travel Policy\n\n## 1. Approval\n\nAll business travel must be approved by the employee's manager **before booking**.\n\nInternational travel additionally requires the cost center to be identified before booking.\n\n## 2. Air travel\n\nFor flights with a scheduled duration of **6 hours or less**, employees should book economy class.\n\nFor flights with a scheduled duration of **more than 6 hours**, premium economy may be booked with manager approval.\n\nBusiness class requires director-level approval and a documented business justification.\n\n## 3. Hotel limits — current policy\n\nThe following nightly hotel limits apply from **1 January 2026**:"", ""## 6. Booking channels\n\nEmployees should use the approved corporate travel provider when it is available for the destination.\n\nBookings made outside the approved channel must include a short justification when the expense claim is submitted.\n\n## 7. Exact identifier note\n\nThis policy is identified as **HR-TRV-0173**. Questions referring to \""TRV-0173\"", \""HR-TRV-0173\"", or \""travel policy 0173\"" refer to this policy.\n\n## 8. Examples"", ""## 4. Historical limits — do not use for travel from 2026 onward\n\nUnder **version 3.2**, effective from 1 January 2025 through 31 December 2025, the hotel limits were:\n\n| Location | 2025 maximum room rate per night |\n|---|---:|\n| Germany | EUR 130 |\n| Belgium | EUR 145 |\n| Spain | EUR 125 |\n| Pakistan | PKR 26,000 |\n\nThese values are retained here only for audit and historical-reference purposes.\n\n## 5. Rail travel\n\nStandard class should normally be used for rail journeys under **3 hours**.\n\nFirst class may be used for rail journeys of **3 hours or more** if the fare is reasonable and manager approval has been obtained.\n\n## 6. Booking channels""]","[""travel_policy.md"", ""travel_policy.md"", ""travel_policy.md""]","[0.4115411043167114, 0.4786521792411804, 0.6116290092468262]",0.05,2.191,1.0,,11.263,1.0,,8.897,0.7556817589479319,,0.092,22.493,GPT-5.6 Sol,1.00,1.00,1.00,High,"Answer is factually correct, directly relevant, and its substantive claims are supported by the retrieved context.",0.0000,0.0000
q062,What additional pre-booking requirement applies specifically to international business travel?,The cost center must also be identified before booking.,The additional pre-booking requirement for international business travel is that the cost center must be identified before booking.,"[""# FakeCompanyABC Business Travel Policy\n\n## 1. Approval\n\nAll business travel must be approved by the employee's manager **before booking**.\n\nInternational travel additionally requires the cost center to be identified before booking.\n\n## 2. Air travel\n\nFor flights with a scheduled duration of **6 hours or less**, employees should book economy class.\n\nFor flights with a scheduled duration of **more than 6 hours**, premium economy may be booked with manager approval.\n\nBusiness class requires director-level approval and a documented business justification.\n\n## 3. Hotel limits — current policy\n\nThe following nightly hotel limits apply from **1 January 2026**:"", ""## 6. Booking channels\n\nEmployees should use the approved corporate travel provider when it is available for the destination.\n\nBookings made outside the approved channel must include a short justification when the expense claim is submitted.\n\n## 7. Exact identifier note\n\nThis policy is identified as **HR-TRV-0173**. Questions referring to \""TRV-0173\"", \""HR-TRV-0173\"", or \""travel policy 0173\"" refer to this policy.\n\n## 8. Examples"", ""## 3. Meals during business travel\n\nThe standard maximum reimbursable meal expense per person is:\n\n| Location | Maximum per meal |\n|---|---:|\n| Germany | EUR 35 |\n| Belgium | EUR 40 |\n| Spain | EUR 35 |\n| Pakistan | PKR 6,500 |\n\nAlcoholic beverages are not reimbursable under the standard meal allowance.\n\n## 4. Hotels\n\nHotel room-rate limits are **not defined by this policy**.\n\nFor hotel limits, employees must use the current **Business Travel Policy, HR-TRV-0173**.\n\nThis is intentional: the expense policy defines how claims are submitted, while the travel policy defines allowable hotel rates.\n\n## 5. Ground transportation""]","[""travel_policy.md"", ""travel_policy.md"", ""expense_policy.md""]","[0.46370401978492737, 0.5529313087463379, 0.608554482460022]",0.051,1.199,1.0,,14.904,1.0,,9.445,0.8799269975392454,,0.106,25.706,GPT-5.6 Sol,1.00,1.00,1.00,High,"Answer is factually correct, directly relevant, and its substantive claims are supported by the retrieved context.",0.0000,0.0000
q063,What cabin should normally be booked for a flight scheduled to last exactly 6 hours?,Economy class.,The cabin should normally be booked for a flight scheduled to last exactly 6 hours.,"[""# FakeCompanyABC Business Travel Policy\n\n## 1. Approval\n\nAll business travel must be approved by the employee's manager **before booking**.\n\nInternational travel additionally requires the cost center to be identified before booking.\n\n## 2. Air travel\n\nFor flights with a scheduled duration of **6 hours or less**, employees should book economy class.\n\nFor flights with a scheduled duration of **more than 6 hours**, premium economy may be booked with manager approval.\n\nBusiness class requires director-level approval and a documented business justification.\n\n## 3. Hotel limits — current policy\n\nThe following nightly hotel limits apply from **1 January 2026**:"", ""## 4. Historical limits — do not use for travel from 2026 onward\n\nUnder **version 3.2**, effective from 1 January 2025 through 31 December 2025, the hotel limits were:\n\n| Location | 2025 maximum room rate per night |\n|---|---:|\n| Germany | EUR 130 |\n| Belgium | EUR 145 |\n| Spain | EUR 125 |\n| Pakistan | PKR 26,000 |\n\nThese values are retained here only for audit and historical-reference purposes.\n\n## 5. Rail travel\n\nStandard class should normally be used for rail journeys under **3 hours**.\n\nFirst class may be used for rail journeys of **3 hours or more** if the fare is reasonable and manager approval has been obtained.\n\n## 6. Booking channels"", ""## 6. Booking channels\n\nEmployees should use the approved corporate travel provider when it is available for the destination.\n\nBookings made outside the approved channel must include a short justification when the expense claim is submitted.\n\n## 7. Exact identifier note\n\nThis policy is identified as **HR-TRV-0173**. Questions referring to \""TRV-0173\"", \""HR-TRV-0173\"", or \""travel policy 0173\"" refer to this policy.\n\n## 8. Examples""]","[""travel_policy.md"", ""travel_policy.md"", ""travel_policy.md""]","[0.5842701196670532, 0.7086700797080994, 0.7216771841049194]",0.052,1.68,0.0,,11.721,0.0,,9.765,0.5200062766103971,,0.106,23.325,GPT-5.6 Sol,1.00,0.00,0.25,Low,Does not name the required cabin. Exactly 6 hours should normally be economy class.,-1.0000,0.0000
q064,A flight is scheduled for 6 hours and 30 minutes. What cabin may be booked with manager approval?,Premium economy.,The cabin may be booked with manager approval for a flight scheduled for 6 hours and 30 minutes.,"[""# FakeCompanyABC Business Travel Policy\n\n## 1. Approval\n\nAll business travel must be approved by the employee's manager **before booking**.\n\nInternational travel additionally requires the cost center to be identified before booking.\n\n## 2. Air travel\n\nFor flights with a scheduled duration of **6 hours or less**, employees should book economy class.\n\nFor flights with a scheduled duration of **more than 6 hours**, premium economy may be booked with manager approval.\n\nBusiness class requires director-level approval and a documented business justification.\n\n## 3. Hotel limits — current policy\n\nThe following nightly hotel limits apply from **1 January 2026**:"", ""## 6. Booking channels\n\nEmployees should use the approved corporate travel provider when it is available for the destination.\n\nBookings made outside the approved channel must include a short justification when the expense claim is submitted.\n\n## 7. Exact identifier note\n\nThis policy is identified as **HR-TRV-0173**. Questions referring to \""TRV-0173\"", \""HR-TRV-0173\"", or \""travel policy 0173\"" refer to this policy.\n\n## 8. Examples"", ""## 4. Historical limits — do not use for travel from 2026 onward\n\nUnder **version 3.2**, effective from 1 January 2025 through 31 December 2025, the hotel limits were:\n\n| Location | 2025 maximum room rate per night |\n|---|---:|\n| Germany | EUR 130 |\n| Belgium | EUR 145 |\n| Spain | EUR 125 |\n| Pakistan | PKR 26,000 |\n\nThese values are retained here only for audit and historical-reference purposes.\n\n## 5. Rail travel\n\nStandard class should normally be used for rail journeys under **3 hours**.\n\nFirst class may be used for rail journeys of **3 hours or more** if the fare is reasonable and manager approval has been obtained.\n\n## 6. Booking channels""]","[""travel_policy.md"", ""travel_policy.md"", ""travel_policy.md""]","[0.42049962282180786, 0.5544430613517761, 0.6651996374130249]",0.053,1.382,1.0,,12.175,1.0,,10.569,0.48794668697608135,,0.097,24.276,GPT-5.6 Sol,1.00,0.00,0.25,Low,"Does not name the cabin. For more than 6 hours, premium economy may be booked with manager approval.",0.0000,1.0000
q065,What approvals or justification are required for business class?,Director-level approval and a documented business justification.,"None of the provided context mentions specific approvals or justification for business class. However, based on the context, business class requires director-level approval and a documented business justification. If the question is asking for the required approvals or justification, the answer would be: director-level approval and a documented business justification.","[""# FakeCompanyABC Business Travel Policy\n\n## 1. Approval\n\nAll business travel must be approved by the employee's manager **before booking**.\n\nInternational travel additionally requires the cost center to be identified before booking.\n\n## 2. Air travel\n\nFor flights with a scheduled duration of **6 hours or less**, employees should book economy class.\n\nFor flights with a scheduled duration of **more than 6 hours**, premium economy may be booked with manager approval.\n\nBusiness class requires director-level approval and a documented business justification.\n\n## 3. Hotel limits — current policy\n\nThe following nightly hotel limits apply from **1 January 2026**:"", ""## 6. Booking channels\n\nEmployees should use the approved corporate travel provider when it is available for the destination.\n\nBookings made outside the approved channel must include a short justification when the expense claim is submitted.\n\n## 7. Exact identifier note\n\nThis policy is identified as **HR-TRV-0173**. Questions referring to \""TRV-0173\"", \""HR-TRV-0173\"", or \""travel policy 0173\"" refer to this policy.\n\n## 8. Examples"", ""## 5. Ground transportation\n\nReasonable public-transport expenses are reimbursable for approved business travel.\n\nTaxi or ride-hailing expenses are reimbursable when public transport is impractical, unavailable, or would create an unreasonable delay. The business reason should be included in the expense claim.\n\n## 6. Personal purchases\n\nPersonal purchases are not reimbursable.\n\nIf a receipt contains both business and personal items, only the business portion may be claimed.\n\n## 7. Reimbursement timing\n\nApproved expenses are normally reimbursed with the next available payroll cycle after finance completes review.\n\n## 8. Examples""]","[""travel_policy.md"", ""travel_policy.md"", ""expense_policy.md""]","[0.6139159202575684, 0.6923110485076904, 0.7147336602210999]",0.046,1.771,0.5,,13.204,0.67,,19.32,0.917693870547085,,0.146,34.486,GPT-5.6 Sol,0.67,0.75,0.75,Partial,"The final requirements are correct, but the response incorrectly claims the context does not contain them.",-0.1700,-0.0800
q066,What is Germany’s standard nightly hotel ceiling for travel taking place in 2026?,EUR 160 per night.,Germany’s standard nightly hotel ceiling for travel taking place in 2026 is EUR 160.,"[""## 8. Examples\n\n- A hotel in Germany costing EUR 155 per night is within the 2026 standard limit.\n- A Germany hotel costing EUR 145 per night was above the standard 2025 limit but is below the 2026 limit.\n- A Spain hotel costing EUR 158 per night in 2026 requires advance approval because the standard limit is EUR 150."", ""## 3. Hotel limits — current policy\n\nThe following nightly hotel limits apply from **1 January 2026**:\n\n| Location | Maximum reimbursable room rate per night |\n|---|---:|\n| Germany | EUR 160 |\n| Belgium | EUR 170 |\n| Spain | EUR 150 |\n| Pakistan | PKR 32,000 |\n\nThe limit applies to the room rate including mandatory hotel taxes, but excluding separately charged breakfast where breakfast is reimbursable under the expense policy.\n\nA higher rate may be reimbursed only if approved **before booking** by the employee's manager and the relevant cost-center owner.\n\n## 4. Historical limits — do not use for travel from 2026 onward"", ""## 4. Historical limits — do not use for travel from 2026 onward\n\nUnder **version 3.2**, effective from 1 January 2025 through 31 December 2025, the hotel limits were:\n\n| Location | 2025 maximum room rate per night |\n|---|---:|\n| Germany | EUR 130 |\n| Belgium | EUR 145 |\n| Spain | EUR 125 |\n| Pakistan | PKR 26,000 |\n\nThese values are retained here only for audit and historical-reference purposes.\n\n## 5. Rail travel\n\nStandard class should normally be used for rail journeys under **3 hours**.\n\nFirst class may be used for rail journeys of **3 hours or more** if the fare is reasonable and manager approval has been obtained.\n\n## 6. Booking channels""]","[""travel_policy.md"", ""travel_policy.md"", ""travel_policy.md""]","[0.42231035232543945, 0.43218880891799927, 0.447928249835968]",0.048,2.162,1.0,,11.105,1.0,,10.946,0.7648364576374018,,0.091,24.353,GPT-5.6 Sol,1.00,1.00,1.00,High,"Answer is factually correct, directly relevant, and its substantive claims are supported by the retrieved context.",0.0000,0.0000
q067,What is the 2026 standard nightly hotel ceiling in Spain?,EUR 150 per night.,The 2026 standard nightly hotel ceiling in Spain is EUR 150.,"[""## 8. Examples\n\n- A hotel in Germany costing EUR 155 per night is within the 2026 standard limit.\n- A Germany hotel costing EUR 145 per night was above the standard 2025 limit but is below the 2026 limit.\n- A Spain hotel costing EUR 158 per night in 2026 requires advance approval because the standard limit is EUR 150."", ""## 3. Hotel limits — current policy\n\nThe following nightly hotel limits apply from **1 January 2026**:\n\n| Location | Maximum reimbursable room rate per night |\n|---|---:|\n| Germany | EUR 160 |\n| Belgium | EUR 170 |\n| Spain | EUR 150 |\n| Pakistan | PKR 32,000 |\n\nThe limit applies to the room rate including mandatory hotel taxes, but excluding separately charged breakfast where breakfast is reimbursable under the expense policy.\n\nA higher rate may be reimbursed only if approved **before booking** by the employee's manager and the relevant cost-center owner.\n\n## 4. Historical limits — do not use for travel from 2026 onward"", ""## 4. Historical limits — do not use for travel from 2026 onward\n\nUnder **version 3.2**, effective from 1 January 2025 through 31 December 2025, the hotel limits were:\n\n| Location | 2025 maximum room rate per night |\n|---|---:|\n| Germany | EUR 130 |\n| Belgium | EUR 145 |\n| Spain | EUR 125 |\n| Pakistan | PKR 26,000 |\n\nThese values are retained here only for audit and historical-reference purposes.\n\n## 5. Rail travel\n\nStandard class should normally be used for rail journeys under **3 hours**.\n\nFirst class may be used for rail journeys of **3 hours or more** if the fare is reasonable and manager approval has been obtained.\n\n## 6. Booking channels""]","[""travel_policy.md"", ""travel_policy.md"", ""travel_policy.md""]","[0.49209749698638916, 0.525131106376648, 0.5629457831382751]",0.045,0.749,1.0,,10.794,1.0,,9.735,0.7835012688155595,,0.179,21.503,GPT-5.6 Sol,1.00,1.00,1.00,High,"Answer is factually correct, directly relevant, and its substantive claims are supported by the retrieved context.",0.0000,0.0000
